Start;Duration;Pitch;Velocity;instrument
0.0;1.5;62;1.0;
1.5;0.5;67;1.0;
2.0;1.5;70;1.0;
3.5;0.5;67;1.0;
4.0;1.5;66;1.0;
5.5;0.25;67;1.0;
5.75;0.25;69;1.0;
6.0;2.0;67;1.0;
8.0;1.5;63;1.0;
9.5;0.25;65;1.0;
9.75;0.25;67;1.0;
10.0;2.0;62;1.0;
12.0;0.25;60;1.0;
12.25;0.37;58;1.0;
13.0;0.75;57;1.0;
13.75;0.25;62;1.0;
14.0;2.0;55;1.0;
16.0;1.5;62;1.0;
17.5;0.25;67;1.0;
17.75;0.25;70;1.0;
18.0;1.5;74;1.0;
19.5;0.5;70;1.0;
20.0;1.5;69;1.0;
21.5;0.25;70;1.0;
21.75;0.25;72;1.0;
22.0;2.0;70;1.0;
24.0;0.25;63;1.0;
24.25;0.25;65;1.0;
24.5;0.25;67;1.0;
24.75;0.25;63;1.0;
25.0;0.25;62;1.0;
25.25;0.25;63;1.0;
25.5;0.25;65;1.0;
25.75;0.25;62;1.0;
26.0;0.25;60;1.0;
26.25;0.25;62;1.0;
26.5;0.25;63;1.0;
26.75;0.25;60;1.0;
27.0;0.25;58;1.0;
27.25;0.25;60;1.0;
27.5;0.25;62;1.0;
27.75;0.25;58;1.0;
28.0;0.5;60;1.0;
28.5;0.25;58;1.0;
29.0;0.37;57;1.0;
29.75;0.25;62;1.0;
30.0;1.0;55;1.0;
31.0;0.5;67;1.0;
32.0;1.5;62;1.0;
33.5;0.5;67;1.0;
34.0;1.5;70;1.0;
35.5;0.5;67;1.0;
36.0;0.25;66;0.7874015748031497;
36.5;0.25;66;0.7874015748031497;
37.0;0.25;66;0.7874015748031497;
37.5;0.25;67;1.0;
37.75;0.25;69;1.0;
38.0;2.0;67;1.0;
40.0;1.5;63;1.0;
41.5;0.25;65;1.0;
41.75;0.25;67;1.0;
42.0;2.0;62;1.0;
44.0;0.25;60;1.0;
44.25;0.37;58;1.0;
45.0;0.75;57;1.0;
45.75;0.25;62;1.0;
46.0;2.0;55;1.0;
48.0;1.0;58;1.0;
49.0;1.0;70;0.7874015748031497;
50.0;1.5;74;1.0;
51.5;0.5;70;1.0;
52.0;0.25;69;0.7874015748031497;
52.5;0.25;69;0.7874015748031497;
53.0;0.25;69;0.7874015748031497;
53.5;0.25;70;1.0;
53.75;0.25;72;1.0;
54.0;2.0;70;1.0;
56.0;0.25;75;1.0;
56.25;0.25;77;1.0;
56.5;0.25;79;1.0;
56.75;0.25;75;1.0;
57.0;0.25;74;1.0;
57.25;0.25;75;1.0;
57.5;0.25;77;1.0;
57.75;0.25;74;1.0;
58.0;0.25;72;1.0;
58.25;0.25;74;1.0;
58.5;0.25;75;1.0;
58.75;0.25;72;1.0;
59.0;0.25;70;1.0;
59.25;0.25;72;1.0;
59.5;0.25;74;1.0;
59.75;0.25;70;1.0;
60.0;0.25;72;1.0;
60.25;0.37;70;1.0;
61.0;0.75;69;1.0;
61.75;0.25;74;1.0;
62.0;1.0;67;1.0;
62.88;-0.0;70;1.0;
62.88;-0.0;74;1.0;
63.0;0.5;79;1.0;
64.0;0.5;74;1.0;
65.0;0.5;74;1.0;
66.0;1.5;75;1.0;
67.5;0.5;74;1.0;
68.5;1.0;72;1.0;
69.5;0.25;71;1.0;
69.75;0.25;72;1.0;
70.0;0.25;74;1.0;
70.25;0.25;72;1.0;
70.5;0.25;71;1.0;
70.75;0.25;74;1.0;
71.0;0.5;72;1.0;
72.0;0.5;72;1.0;
73.0;0.5;72;1.0;
74.0;1.5;74;1.0;
75.5;0.5;72;1.0;
76.5;1.0;70;1.0;
77.5;0.25;69;1.0;
77.75;0.25;70;1.0;
78.0;0.25;72;1.0;
78.25;0.25;70;1.0;
78.5;0.25;69;1.0;
78.75;0.25;72;1.0;
79.0;0.5;70;1.0;
80.0;0.5;69;1.0;
81.0;0.5;69;1.0;
82.0;0.25;72;1.0;
82.5;0.5;70;1.0;
83.5;1.0;69;1.0;
84.5;0.5;67;1.0;
85.5;0.25;66;1.0;
85.75;0.25;67;1.0;
86.0;0.25;69;1.0;
86.25;0.25;67;1.0;
86.5;0.25;66;1.0;
86.75;0.25;69;1.0;
87.0;0.5;67;1.0;
88.0;0.5;74;1.0;
89.75;0.12;62;1.0;
90.0;0.5;64;1.0;
91.0;0.37;66;1.0;
91.88;0.12;69;1.0;
92.0;0.25;67;1.0;
92.5;1.0;67;1.0;
93.5;0.25;66;1.0;
93.75;0.25;67;1.0;
94.0;0.25;69;1.0;
94.25;0.25;67;1.0;
94.5;0.25;66;1.0;
94.75;0.25;69;1.0;
95.0;0.5;67;1.0;
96.0;0.5;74;1.0;
97.0;0.5;74;1.0;
98.0;1.5;75;1.0;
99.5;0.5;74;1.0;
100.5;1.0;72;1.0;
101.5;0.25;71;1.0;
101.75;0.25;72;1.0;
102.0;0.25;74;1.0;
102.25;0.25;72;1.0;
102.5;0.25;71;1.0;
102.75;0.25;74;1.0;
103.0;0.5;72;0.7874015748031497;
104.5;0.5;72;0.7874015748031497;
105.5;0.5;72;0.7874015748031497;
106.0;1.5;74;1.0;
107.5;0.5;72;1.0;
108.5;1.0;70;1.0;
109.5;0.25;69;1.0;
109.75;0.25;70;1.0;
110.0;0.25;72;1.0;
110.25;0.25;70;1.0;
110.5;0.25;69;1.0;
110.75;0.25;72;1.0;
111.0;0.5;70;1.0;
112.0;0.5;69;1.0;
113.0;0.5;69;1.0;
114.0;0.25;72;1.0;
114.5;0.5;70;1.0;
115.5;1.0;69;1.0;
116.5;0.5;67;1.0;
117.5;0.25;66;1.0;
117.75;0.25;67;1.0;
118.0;0.25;69;1.0;
118.25;0.25;67;1.0;
118.5;0.25;66;1.0;
118.75;0.25;69;1.0;
119.0;0.5;67;1.0;
120.0;0.5;74;1.0;
121.75;0.12;62;1.0;
122.0;0.5;64;1.0;
123.0;0.5;66;1.0;
124.0;0.25;67;1.0;
124.5;1.0;67;1.0;
125.5;0.25;66;1.0;
125.75;0.25;67;1.0;
126.0;0.25;69;1.0;
126.25;0.25;67;1.0;
126.5;0.25;66;1.0;
126.75;0.25;69;1.0;
127.0;0.5;67;1.0;
128.0;0.5;67;1.0;
128.5;0.5;62;1.0;
129.0;0.25;62;1.0;
129.5;0.25;62;1.0;
130.0;0.5;62;1.0;
130.5;0.5;60;1.0;
131.0;0.5;59;1.0;
131.5;0.5;60;1.0;
132.0;0.25;62;1.0;
132.25;0.25;67;0.7874015748031497;
132.5;0.5;62;1.0;
134.0;0.5;67;1.0;
134.5;0.5;62;1.0;
135.0;0.25;62;1.0;
135.5;0.25;62;1.0;
136.0;0.5;62;1.0;
136.5;0.5;60;1.0;
137.0;0.5;59;1.0;
137.5;0.5;57;1.0;
138.0;0.5;55;1.0;
138.5;0.5;55;1.0;
139.0;0.5;55;1.0;
140.0;0.5;79;1.0;
140.5;0.5;74;1.0;
